Task Name,Task ID,Task Type,Date,Value
cure,7059cade-c9df-4a7b-846f-ec0f09433121,habit,2020-03-08 10:19:43,-1.026657310999762
短短地休息一下,d0d7af3c-e8f7-4f01-b6ca-64607140a9e1,habit,2020-03-08 10:17:47,1
听力>>托福,f72cf781-2b69-4f02-abf2-ad14883e31b1,daily,2020-03-08 10:04:50,1
俯卧撑>>锻炼身体,035463b6-4aa3-44cb-ac7c-13bbd28c213a,daily,2020-03-08 10:15:46,1
